Time,X,Y,Z,Displacement [mm]
2026-04-03T15:11:54.214,      -0.01,       -2.50,        0.08,       2.50
2026-04-03T15:11:54.730,      -0.01,       -2.51,        0.10,       2.51
2026-04-03T15:11:55.247,      -0.01,       -2.40,        0.04,       2.40
2026-04-03T15:11:55.810,      -0.01,       -2.19,        0.03,       2.19
2026-04-03T15:11:56.312,      -0.03,       -1.94,        0.10,       1.95
2026-04-03T15:11:56.826,      -0.03,       -1.80,        0.12,       1.81
2026-04-03T15:11:57.343,      -0.00,       -1.62,        0.06,       1.62
2026-04-03T15:11:57.858,      -0.00,       -1.49,        0.02,       1.49
2026-04-03T15:11:58.359,       0.01,       -1.39,       -0.03,       1.39
2026-04-03T15:11:58.873,      -0.02,       -1.18,        0.05,       1.18
2026-04-03T15:11:59.390,      -0.01,       -1.08,        0.06,       1.08
2026-04-03T15:11:59.905,      -0.01,       -0.94,        0.05,       0.94
2026-04-03T15:12:00.424,       0.01,       -0.86,        0.00,       0.86
2026-04-03T15:12:00.941,      -0.02,       -0.75,        0.02,       0.75
2026-04-03T15:12:01.454,       0.01,       -0.59,        0.02,       0.59
2026-04-03T15:12:01.970,      -0.01,       -0.49,       -0.02,       0.49
2026-04-03T15:12:02.487,      -0.00,       -0.33,       -0.03,       0.34
2026-04-03T15:12:03.005,       0.03,       -0.20,       -0.04,       0.20
2026-04-03T15:12:03.522,       0.02,       -0.12,       -0.04,       0.13
2026-04-03T15:12:04.038,       0.03,       -0.04,       -0.08,       0.09
2026-04-03T15:12:04.600,       0.01,       -0.02,       -0.02,       0.03
2026-04-03T15:12:05.103,       0.02,       -0.02,       -0.02,       0.03
2026-04-03T15:12:05.619,      -0.00,       -0.01,       -0.01,       0.01
2026-04-03T15:12:06.133,       0.03,        0.01,       -0.02,       0.03
2026-04-03T15:12:06.649,       0.00,       -0.02,       -0.01,       0.03
2026-04-03T15:12:07.164,      -0.00,        0.00,       -0.03,       0.03
2026-04-03T15:12:07.684,      -0.00,        0.01,       -0.03,       0.03
2026-04-03T15:12:08.200,       0.00,       -0.00,       -0.07,       0.07
2026-04-03T15:12:08.746,      -0.01,       -0.01,       -0.03,       0.04
2026-04-03T15:12:09.265,      -0.02,       -0.05,       -0.03,       0.06
2026-04-03T15:12:09.782,      -0.01,       -0.21,       -0.04,       0.22
2026-04-03T15:12:10.294,       0.00,       -0.38,       -0.00,       0.38
2026-04-03T15:12:10.811,      -0.01,       -0.55,        0.01,       0.55
2026-04-03T15:12:11.328,      -0.00,       -0.73,        0.02,       0.73
2026-04-03T15:12:11.845,       0.01,       -0.92,        0.03,       0.92
2026-04-03T15:12:12.392,      -0.05,       -1.08,        0.12,       1.09
2026-04-03T15:12:12.927,      -0.03,       -1.31,        0.06,       1.31
2026-04-03T15:12:13.479,      -0.01,       -1.47,        0.02,       1.47
2026-04-03T15:12:13.994,      -0.03,       -1.62,        0.05,       1.62
2026-04-03T15:12:14.506,      -0.00,       -1.82,        0.10,       1.82
2026-04-03T15:12:15.024,      -0.03,       -1.88,        0.09,       1.89
2026-04-03T15:12:15.526,      -0.01,       -2.02,        0.10,       2.02
2026-04-03T15:12:16.041,      -0.01,       -2.04,        0.10,       2.05
2026-04-03T15:12:16.554,       0.03,       -2.05,        0.02,       2.05
2026-04-03T15:12:17.071,      -0.01,       -1.99,        0.08,       1.99
2026-04-03T15:12:17.574,       0.00,       -2.01,        0.03,       2.01
2026-04-03T15:12:18.089,      -0.02,       -2.00,       -0.01,       2.00
2026-04-03T15:12:18.603,      -0.01,       -2.03,       -0.01,       2.03
2026-04-03T15:12:19.119,      -0.02,       -2.00,       -0.02,       2.00
2026-04-03T15:12:19.634,      -0.02,       -2.02,        0.01,       2.02
2026-04-03T15:12:20.154,      -0.02,       -2.01,        0.04,       2.01
2026-04-03T15:12:20.671,      -0.01,       -2.00,        0.03,       2.00
2026-04-03T15:12:21.216,      -0.00,       -2.01,        0.04,       2.01
2026-04-03T15:12:21.735,       0.02,       -1.99,        0.03,       1.99
2026-04-03T15:12:22.251,      -0.03,       -1.99,        0.06,       1.99
2026-04-03T15:12:22.768,      -0.04,       -2.02,        0.05,       2.02
2026-04-03T15:12:23.280,      -0.02,       -2.01,        0.05,       2.02
2026-04-03T15:12:23.796,      -0.01,       -1.98,        0.05,       1.98
2026-04-03T15:12:24.314,      -0.00,       -1.80,        0.06,       1.80
2026-04-03T15:12:24.814,       0.01,       -1.66,        0.10,       1.66
2026-04-03T15:12:25.329,       0.01,       -1.52,        0.03,       1.52
2026-04-03T15:12:25.845,       0.00,       -1.35,        0.07,       1.35
2026-04-03T15:12:26.365,      -0.02,       -1.24,       -0.00,       1.24
2026-04-03T15:12:26.880,      -0.01,       -1.08,        0.04,       1.08
2026-04-03T15:12:27.443,      -0.00,       -0.95,        0.04,       0.95
2026-04-03T15:12:27.945,      -0.02,       -0.78,        0.04,       0.78
2026-04-03T15:12:28.462,      -0.02,       -0.71,       -0.01,       0.71
2026-04-03T15:12:28.974,      -0.00,       -0.58,       -0.00,       0.58
2026-04-03T15:12:29.491,       0.01,       -0.45,        0.01,       0.45
2026-04-03T15:12:30.008,      -0.00,       -0.29,       -0.03,       0.29
2026-04-03T15:12:30.526,       0.02,       -0.23,       -0.02,       0.23
2026-04-03T15:12:31.093,       0.00,       -0.10,       -0.04,       0.11
2026-04-03T15:12:31.638,      -0.00,       -0.06,        0.00,       0.06
2026-04-03T15:12:32.158,      -0.01,       -0.03,        0.01,       0.04
2026-04-03T15:12:32.673,      -0.01,       -0.00,        0.03,       0.03
2026-04-03T15:12:33.187,      -0.00,        0.00,        0.01,       0.01
2026-04-03T15:12:33.754,      -0.01,        0.03,       -0.03,       0.04
2026-04-03T15:12:34.257,       0.01,        0.02,       -0.02,       0.03
2026-04-03T15:12:34.769,       0.01,       -0.01,       -0.02,       0.02
2026-04-03T15:12:35.285,       0.01,        0.04,       -0.03,       0.04
2026-04-03T15:12:35.802,      -0.00,        0.03,       -0.07,       0.08
2026-04-03T15:12:36.320,       0.02,        0.02,       -0.05,       0.05
2026-04-03T15:12:36.836,      -0.00,        0.00,       -0.02,       0.02
2026-04-03T15:12:37.382,       0.05,        0.15,       -0.01,       0.16
2026-04-03T15:12:37.899,      -0.02,        0.24,       -0.06,       0.25
2026-04-03T15:12:38.417,       0.02,        0.42,        0.00,       0.42
2026-04-03T15:12:38.933,       0.01,        0.43,        0.05,       0.44
2026-04-03T15:12:39.448,       0.01,        0.60,        0.06,       0.60
2026-04-03T15:12:40.000,       0.00,        0.70,        0.09,       0.71
2026-04-03T15:12:40.516,      -0.01,        0.84,       -0.01,       0.84
2026-04-03T15:12:41.029,       0.00,        0.93,        0.11,       0.94
2026-04-03T15:12:41.546,       0.01,        1.05,        0.06,       1.06
2026-04-03T15:12:42.060,      -0.01,        1.19,        0.04,       1.19
2026-04-03T15:12:42.579,      -0.01,        1.32,        0.04,       1.33
2026-04-03T15:12:43.126,      -0.01,        1.47,       -0.01,       1.47
